scenario,policy,review_budget,review_rate,automation_coverage,selective_risk,critical_false_accept_rate,critical_error_capture,residual_weighted_risk,normalized_expected_cost,sensitivity_cost
base,raw_confidence,0.05,0.05,0.95,0.631578947368421,0.35789473684210527,0.1282051282051282,6.4,11.55,3.6289473684210525
base,raw_confidence,0.1,0.1,0.9,0.6111111111111112,0.32222222222222224,0.2564102564102564,5.65,10.1,3.3222222222222224
base,raw_confidence,0.2,0.2,0.8,0.5625,0.25,0.48717948717948717,4.25,7.45,2.7
base,raw_confidence,0.3,0.3,0.7,0.5142857142857142,0.21428571428571427,0.6153846153846154,3.3,5.85,2.4428571428571426
base,raw_confidence,0.4,0.4,0.6,0.4666666666666667,0.2,0.6923076923076923,2.6,4.8,2.4
base,raw_confidence,0.5,0.5,0.5,0.4,0.18,0.7692307692307693,1.9,3.75,2.3
base,calibrated_confidence,0.05,0.05,0.95,0.631578947368421,0.35789473684210527,0.1282051282051282,6.4,11.55,3.6289473684210525
base,calibrated_confidence,0.1,0.1,0.9,0.6111111111111112,0.32222222222222224,0.2564102564102564,5.65,10.1,3.3222222222222224
base,calibrated_confidence,0.2,0.2,0.8,0.5625,0.275,0.4358974358974359,4.45,7.95,2.95
base,calibrated_confidence,0.3,0.3,0.7,0.5285714285714286,0.24285714285714285,0.5641025641025641,3.55,6.4,2.728571428571428
base,calibrated_confidence,0.4,0.4,0.6,0.4666666666666667,0.21666666666666667,0.6666666666666666,2.7,5.05,2.566666666666667
base,calibrated_confidence,0.5,0.5,0.5,0.4,0.18,0.7692307692307693,1.9,3.75,2.3
base,model_disagreement,0.05,0.05,0.95,0.6421052631578947,0.3894736842105263,0.05128205128205128,6.75,12.35,3.9447368421052627
base,model_disagreement,0.1,0.1,0.9,0.6444444444444445,0.37777777777777777,0.1282051282051282,6.3,11.5,3.8777777777777778
base,model_disagreement,0.2,0.2,0.8,0.6625,0.3875,0.20512820512820512,5.75,10.6,4.075
base,model_disagreement,0.3,0.3,0.7,0.6571428571428571,0.38571428571428573,0.3076923076923077,5.0,9.35,4.1571428571428575
base,model_disagreement,0.4,0.4,0.6,0.65,0.4166666666666667,0.358974358974359,4.45,8.6,4.566666666666667
base,model_disagreement,0.5,0.5,0.5,0.64,0.44,0.4358974358974359,3.8,7.6,4.9
base,confidence_plus_reconciliation,0.05,0.05,0.95,0.631578947368421,0.35789473684210527,0.1282051282051282,6.4,11.55,3.6289473684210525
base,confidence_plus_reconciliation,0.1,0.1,0.9,0.6111111111111112,0.34444444444444444,0.20512820512820512,5.85,10.6,3.5444444444444447
base,confidence_plus_reconciliation,0.2,0.2,0.8,0.6,0.325,0.3333333333333333,5.0,9.1,3.45
base,confidence_plus_reconciliation,0.3,0.3,0.7,0.5428571428571428,0.24285714285714285,0.5641025641025641,3.6,6.45,2.728571428571428
base,confidence_plus_reconciliation,0.4,0.4,0.6,0.48333333333333334,0.2,0.6923076923076923,2.65,4.85,2.4
base,confidence_plus_reconciliation,0.5,0.5,0.5,0.44,0.2,0.7435897435897436,2.1,4.1,2.5
base,rfdi_composite_risk,0.05,0.05,0.95,0.631578947368421,0.35789473684210527,0.1282051282051282,6.4,11.55,3.6289473684210525
base,rfdi_composite_risk,0.1,0.1,0.9,0.6333333333333333,0.36666666666666664,0.15384615384615385,6.15,11.2,3.7666666666666666
base,rfdi_composite_risk,0.2,0.2,0.8,0.6,0.325,0.3333333333333333,5.0,9.1,3.45
base,rfdi_composite_risk,0.3,0.3,0.7,0.5714285714285714,0.32857142857142857,0.41025641025641024,4.3,8.05,3.5857142857142854
base,rfdi_composite_risk,0.4,0.4,0.6,0.55,0.3333333333333333,0.48717948717948717,3.65,7.05,3.733333333333333
base,rfdi_composite_risk,0.5,0.5,0.5,0.52,0.36,0.5384615384615384,3.1,6.3,4.1
review_inexpensive,raw_confidence,0.05,0.05,0.95,0.631578947368421,0.35789473684210527,0.1282051282051282,6.4,11.55,3.6039473684210526
review_inexpensive,raw_confidence,0.1,0.1,0.9,0.6111111111111112,0.32222222222222224,0.2564102564102564,5.65,10.1,3.272222222222222
review_inexpensive,raw_confidence,0.2,0.2,0.8,0.5625,0.25,0.48717948717948717,4.25,7.45,2.6
review_inexpensive,raw_confidence,0.3,0.3,0.7,0.5142857142857142,0.21428571428571427,0.6153846153846154,3.3,5.85,2.2928571428571427
review_inexpensive,raw_confidence,0.4,0.4,0.6,0.4666666666666667,0.2,0.6923076923076923,2.6,4.8,2.2
review_inexpensive,raw_confidence,0.5,0.5,0.5,0.4,0.18,0.7692307692307693,1.9,3.75,2.05
review_inexpensive,calibrated_confidence,0.05,0.05,0.95,0.631578947368421,0.35789473684210527,0.1282051282051282,6.4,11.55,3.6039473684210526
review_inexpensive,calibrated_confidence,0.1,0.1,0.9,0.6111111111111112,0.32222222222222224,0.2564102564102564,5.65,10.1,3.272222222222222
review_inexpensive,calibrated_confidence,0.2,0.2,0.8,0.5625,0.275,0.4358974358974359,4.45,7.95,2.85
review_inexpensive,calibrated_confidence,0.3,0.3,0.7,0.5285714285714286,0.24285714285714285,0.5641025641025641,3.55,6.4,2.5785714285714283
review_inexpensive,calibrated_confidence,0.4,0.4,0.6,0.4666666666666667,0.21666666666666667,0.6666666666666666,2.7,5.05,2.366666666666667
review_inexpensive,calibrated_confidence,0.5,0.5,0.5,0.4,0.18,0.7692307692307693,1.9,3.75,2.05
review_inexpensive,model_disagreement,0.05,0.05,0.95,0.6421052631578947,0.3894736842105263,0.05128205128205128,6.75,12.35,3.9197368421052627
review_inexpensive,model_disagreement,0.1,0.1,0.9,0.6444444444444445,0.37777777777777777,0.1282051282051282,6.3,11.5,3.8277777777777775
review_inexpensive,model_disagreement,0.2,0.2,0.8,0.6625,0.3875,0.20512820512820512,5.75,10.6,3.975
review_inexpensive,model_disagreement,0.3,0.3,0.7,0.6571428571428571,0.38571428571428573,0.3076923076923077,5.0,9.35,4.007142857142857
review_inexpensive,model_disagreement,0.4,0.4,0.6,0.65,0.4166666666666667,0.358974358974359,4.45,8.6,4.366666666666667
review_inexpensive,model_disagreement,0.5,0.5,0.5,0.64,0.44,0.4358974358974359,3.8,7.6,4.65
review_inexpensive,confidence_plus_reconciliation,0.05,0.05,0.95,0.631578947368421,0.35789473684210527,0.1282051282051282,6.4,11.55,3.6039473684210526
review_inexpensive,confidence_plus_reconciliation,0.1,0.1,0.9,0.6111111111111112,0.34444444444444444,0.20512820512820512,5.85,10.6,3.4944444444444445
review_inexpensive,confidence_plus_reconciliation,0.2,0.2,0.8,0.6,0.325,0.3333333333333333,5.0,9.1,3.35
review_inexpensive,confidence_plus_reconciliation,0.3,0.3,0.7,0.5428571428571428,0.24285714285714285,0.5641025641025641,3.6,6.45,2.5785714285714283
review_inexpensive,confidence_plus_reconciliation,0.4,0.4,0.6,0.48333333333333334,0.2,0.6923076923076923,2.65,4.85,2.2
review_inexpensive,confidence_plus_reconciliation,0.5,0.5,0.5,0.44,0.2,0.7435897435897436,2.1,4.1,2.25
review_inexpensive,rfdi_composite_risk,0.05,0.05,0.95,0.631578947368421,0.35789473684210527,0.1282051282051282,6.4,11.55,3.6039473684210526
review_inexpensive,rfdi_composite_risk,0.1,0.1,0.9,0.6333333333333333,0.36666666666666664,0.15384615384615385,6.15,11.2,3.7166666666666663
review_inexpensive,rfdi_composite_risk,0.2,0.2,0.8,0.6,0.325,0.3333333333333333,5.0,9.1,3.35
